ENDERECO_L;COD_MUNIC_;NUM_ZONA;NUM_SECAO;COD_LOCALV;NM_BAIRRO;NR_LOCAL_V;NM_LOCALVO;COD_MUNI_1;NM_MUNIC_I;NUM_CEP;lon;lat;CD_GEOCODB;NM_BAIRR_1
RUA BENIGNO FAGUNDES DA SILVA , S/N;41238;38;159;13206;SERRA VERDE (VENDA NOVA);1236;ESCOLA MUNICIPAL JOSE MARIA ALKIMIN;3106200;BELO HORIZONTE;31630070;-43,9544378;-19,7972394;3,1062E+11;Serra Verde
RUA BENIGNO FAGUNDES DA SILVA , S/N;41238;38;160;13206;SERRA VERDE (VENDA NOVA);1236;ESCOLA MUNICIPAL JOSE MARIA ALKIMIN;3106200;BELO HORIZONTE;31630070;-43,9544378;-19,7972394;3,1062E+11;Serra Verde
RUA BENIGNO FAGUNDES DA SILVA , S/N;41238;38;215;13206;SERRA VERDE (VENDA NOVA);1236;ESCOLA MUNICIPAL JOSE MARIA ALKIMIN;3106200;BELO HORIZONTE;31630070;-43,9544378;-19,7972394;3,1062E+11;Serra Verde
RUA BENIGNO FAGUNDES DA SILVA , S/N;41238;38;155;13206;SERRA VERDE (VENDA NOVA);1236;ESCOLA MUNICIPAL JOSE MARIA ALKIMIN;3106200;BELO HORIZONTE;31630070;-43,9544378;-19,7972394;3,1062E+11;Serra Verde
RUA BENIGNO FAGUNDES DA SILVA , S/N;41238;38;156;13206;SERRA VERDE (VENDA NOVA);1236;ESCOLA MUNICIPAL JOSE MARIA ALKIMIN;3106200;BELO HORIZONTE;31630070;-43,9544378;-19,7972394;3,1062E+11;Serra Verde
RUA BICUIBA, 100;41238;29;251;E2bc08040114571741;DOM BOSCO;1430;ESCOLA MUNICIPAL DOM BOSCO;3106200;BELO HORIZONTE;30850260;-43,9996374;-19,9168096;3,1062E+11;Dom Bosco
RUA BICUIBA, 100;41238;29;255;E2bc08040114571741;DOM BOSCO;1430;ESCOLA MUNICIPAL DOM BOSCO;3106200;BELO HORIZONTE;30850260;-43,9996374;-19,9168096;3,1062E+11;Dom Bosco
RUA BICUIBA, 100;41238;29;282;E2bc08040114571741;DOM BOSCO;1430;ESCOLA MUNICIPAL DOM BOSCO;3106200;BELO HORIZONTE;30850260;-43,9996374;-19,9168096;3,1062E+11;Dom Bosco
RUA BICUIBA, 100;41238;29;236;E2bc08040114571741;DOM BOSCO;1430;ESCOLA MUNICIPAL DOM BOSCO;3106200;BELO HORIZONTE;30850260;-43,9996374;-19,9168096;3,1062E+11;Dom Bosco
RUA BOAVENTURA, 1878;41238;32;7;13406;AEROPORTO;1031;COLEGIO PAMPULHA;3106200;BELO HORIZONTE;31270310;-43,9548183;-19,8557187;3,1062E+11;Jaragua
RUA BOAVENTURA, 1878;41238;32;8;13406;AEROPORTO;1031;COLEGIO PAMPULHA;3106200;BELO HORIZONTE;31270310;-43,9548183;-19,8557187;3,1062E+11;Jaragua
RUA BOAVENTURA, 1878;41238;32;9;13406;AEROPORTO;1031;COLEGIO PAMPULHA;3106200;BELO HORIZONTE;31270310;-43,9548183;-19,8557187;3,1062E+11;Jaragua
RUA BOAVENTURA, 1878;41238;32;10;13406;AEROPORTO;1031;COLEGIO PAMPULHA;3106200;BELO HORIZONTE;31270310;-43,9548183;-19,8557187;3,1062E+11;Jaragua
RUA BOAVENTURA, 1878;41238;32;11;13406;AEROPORTO;1031;COLEGIO PAMPULHA;3106200;BELO HORIZONTE;31270310;-43,9548183;-19,8557187;3,1062E+11;Jaragua
RUA BOAVENTURA, 1878;41238;32;12;13406;AEROPORTO;1031;COLEGIO PAMPULHA;3106200;BELO HORIZONTE;31270310;-43,9548183;-19,8557187;3,1062E+11;Jaragua
RUA BOAVENTURA, 1878;41238;32;13;13406;AEROPORTO;1031;COLEGIO PAMPULHA;3106200;BELO HORIZONTE;31270310;-43,9548183;-19,8557187;3,1062E+11;Jaragua
RUA BOAVENTURA, 1878;41238;32;164;13406;AEROPORTO;1031;COLEGIO PAMPULHA;3106200;BELO HORIZONTE;31270310;-43,9548183;-19,8557187;3,1062E+11;Jaragua
RUA BOAVENTURA, 50;41238;32;33;13412;UNIVERSITARIO;1090;UNIFENAS - UNIVERSIDADE JOSE DO ROSARIO VELLANO;3106200;BELO HORIZONTE;31270020;-43,9487243;-19,871243;3,1062E+11;Universitario
RUA BOAVENTURA, 50;41238;32;29;13412;UNIVERSITARIO;1090;UNIFENAS - UNIVERSIDADE JOSE DO ROSARIO VELLANO;3106200;BELO HORIZONTE;31270020;-43,9487243;-19,871243;3,1062E+11;Universitario
RUA BOAVENTURA, 50;41238;32;30;13412;UNIVERSITARIO;1090;UNIFENAS - UNIVERSIDADE JOSE DO ROSARIO VELLANO;3106200;BELO HORIZONTE;31270020;-43,9487243;-19,871243;3,1062E+11;Universitario
RUA BOAVENTURA, 50;41238;32;161;13412;UNIVERSITARIO;1090;UNIFENAS - UNIVERSIDADE JOSE DO ROSARIO VELLANO;3106200;BELO HORIZONTE;31270020;-43,9487243;-19,871243;3,1062E+11;Universitario
RUA BOAVENTURA, 50;41238;32;32;13412;UNIVERSITARIO;1090;UNIFENAS - UNIVERSIDADE JOSE DO ROSARIO VELLANO;3106200;BELO HORIZONTE;31270020;-43,9487243;-19,871243;3,1062E+11;Universitario
RUA BOAVENTURA, 50;41238;32;28;13412;UNIVERSITARIO;1090;UNIFENAS - UNIVERSIDADE JOSE DO ROSARIO VELLANO;3106200;BELO HORIZONTE;31270020;-43,9487243;-19,871243;3,1062E+11;Universitario
RUA BOAVENTURA, 50;41238;32;31;13412;UNIVERSITARIO;1090;UNIFENAS - UNIVERSIDADE JOSE DO ROSARIO VELLANO;3106200;BELO HORIZONTE;31270020;-43,9487243;-19,871243;3,1062E+11;Universitario
RUA BOAVENTURA, 50;41238;32;268;13412;UNIVERSITARIO;1090;UNIFENAS - UNIVERSIDADE JOSE DO ROSARIO VELLANO;3106200;BELO HORIZONTE;31270020;-43,9487243;-19,871243;3,1062E+11;Universitario
RUA BOLIVAR,  10;41238;27;53;13572;UNIAO;1120;ESCOLA MUNICIPAL ANISIO TEIXEIRA;3106200;BELO HORIZONTE;31170670;-43,925975;-19,8832497;3,1062E+11;Uniao
RUA BOLIVAR,  10;41238;27;54;13572;UNIAO;1120;ESCOLA MUNICIPAL ANISIO TEIXEIRA;3106200;BELO HORIZONTE;31170670;-43,925975;-19,8832497;3,1062E+11;Uniao
RUA BOLIVAR,  10;41238;27;57;13572;UNIAO;1120;ESCOLA MUNICIPAL ANISIO TEIXEIRA;3106200;BELO HORIZONTE;31170670;-43,925975;-19,8832497;3,1062E+11;Uniao
RUA BOLIVAR,  10;41238;27;58;13572;UNIAO;1120;ESCOLA MUNICIPAL ANISIO TEIXEIRA;3106200;BELO HORIZONTE;31170670;-43,925975;-19,8832497;3,1062E+11;Uniao
RUA BOLIVAR,  10;41238;27;55;13572;UNIAO;1120;ESCOLA MUNICIPAL ANISIO TEIXEIRA;3106200;BELO HORIZONTE;31170670;-43,925975;-19,8832497;3,1062E+11;Uniao
